,artists
0,The Weeknd
1,Taylor Swift
2,Ed Sheeran
3,Dua Lipa
4,Bad Bunny
5,Rihanna
6,Drake
7,Justin Bieber
8,Billie Eilish
9,Miley Cyrus
10,David Guetta
11,Travis Scott
12,Ariana Grande
13,Coldplay
14,Calvin Harris
15,Shakira
16,Eminem
17,Post Malone
18,Bruno Mars
19,Doja Cat
20,Nicki Minaj
21,SZA
22,Harry Styles
23,Olivia Rodrigo
24,Imagine Dragons
25,Kanye West
26,Maroon 5
27,Marshmello
28,KAROL G
29,Lana Del Rey
30,Sam Smith
31,21 Savage
32,Selena Gomez
33,Daddy Yankee
34,Lady Gaga
35,Metro Boomin
36,Future
37,Khalid
38,J Balvin
39,BeyoncÃ©
40,Adele
41,Katy Perry
42,Peso Pluma
43,Elton John
44,Queen
45,Chris Brown
46,Kendrick Lamar
47,OneRepublic
48,Myke Towers
49,Rauw Alejandro
50,Ozuna
51,Arctic Monkeys
52,Sia
53,Shawn Mendes
54,Bebe Rexha
55,TiÃ«sto
56,Halsey
57,Bizarrap
58,Charlie Puth
59,Ice Spice
60,J. Cole
61,Ellie Goulding
62,Anne-Marie
63,Madonna
64,Black Eyed Peas
65,Feid
66,Maluma
67,Camila Cabello
68,Swae Lee
69,Arijit Singh
70,One Direction
71,James Arthur
72,Farruko
73,Quevedo
74,Playboi Carti
75,The Chainsmokers
76,Pitbull
77,Gunna
78,Michael Jackson
79,Avicii
80,Kali Uchis
81,JAY-Z
82,Latto
83,XXXTENTACION
84,Manuel Turizo
85,Grupo Frontera
86,Lil Wayne
87,ROSALÃA
88,Pritam
89,Lil Uzi Vert
90,Aqua
91,Sean Paul
92,Linkin Park
93,P!nk
94,Diplo
95,Britney Spears
96,Jhayco
97,Shreya Ghoshal
98,BTS
99,Justin Timberlake
100,Fleetwood Mac
101,Jung Kook
102,Don Omar
103,Central Cee
104,Anuel AA
105,Jason Derulo
106,DJ Snake
107,Ava Max
108,Becky G
109,Rema
110,The Neighbourhood
111,Lewis Capaldi
112,A.R. Rahman
113,The Kid LAROI
114,Cardi B
115,50 Cent
116,Young Thug
117,Coi Leray
118,Demi Lovato
119,Alan Walker
120,Pharrell Williams
121,Wiz Khalifa
122,Lil Baby
123,Snoop Dogg
124,Macklemore
125,Red Hot Chili Peppers
126,Juice WRLD
127,The Beatles
128,Green Day
129,A$AP Rocky
130,"Tyler, The Creator"
131,DaBaby
132,Young Miko
133,Tainy
134,Lil Nas X
135,Labrinth
136,Creedence Clearwater Revival
137,Guns N' Roses
138,Dave
139,USHER
140,AC/DC
141,Kodak Black
142,Chencho Corleone
143,Sebastian Yatra
144,Hozier
145,RAYE
146,Nirvana
147,Nicky Jam
148,Miguel
149,Frank Ocean
150,ABBA
151,Lil Durk
152,Flo Rida
153,Troye Sivan
154,Robin Schulz
155,Kygo
156,Bon Jovi
157,Junior H
158,Ty Dolla $ign
159,Calum Scott
160,Steve Lacy
161,Jack Harlow
162,Eslabon Armado
163,Daniel Caesar
164,Stephen Sanchez
165,Bee Gees
166,The Police
167,Meghan Trainor
168,Fall Out Boy
169,DJ Khaled
170,FIFTY FIFTY
171,Maria Becerra
172,The Rolling Stones
173,Morgan Wallen
174,d4vd
175,Twenty One Pilots
176,Carin Leon
177,Lost Frequencies
178,NewJeans
179,Akon
180,David Kushner
181,PinkPantheress
182,Amitabh Bhattacharya
183,Metallica
184,Sabrina Carpenter
185,Mariah Carey
186,Major Lazer
187,Nelly Furtado
188,JVKE
189,Tame Impala
190,Swedish House Mafia
191,Tyga
192,Jonas Brothers
193,Alicia Keys
194,Yng Lvcas
195,Tory Lanez
196,ZAYN
197,Polo G
198,BLACKPINK
199,Yandel
200,Kid Cudi
201,Duki
202,Mac Miller
203,Radiohead
204,Enrique Iglesias
205,Pop Smoke
206,Anirudh Ravichander
207,Christina Aguilera
208,ArcÃ¡ngel
209,Glass Animals
210,Ryan Castro
211,Don Toliver
212,Alok
213,Romeo Santos
214,Luke Combs
215,Peggy Gou
216,Conan Gray
217,Aerosmith
218,Whitney Houston
219,Zara Larsson
220,Gorillaz
221,Tom Odell
222,Charli XCX
223,Disney
224,2Pac
225,Giveon
226,Joji
227,Em Beihold
228,R3HAB
229,Tate McRae
230,Fuerza Regida
231,Panic! At The Disco
232,Dr. Dre
233,Jennifer Lopez
234,El Alfa
235,Ne-Yo
236,Childish Gambino
237,Martin Garrix
238,Billy Joel
239,Vance Joy
240,Eladio Carrion
241,Trippie Redd
242,Mark Ronson
243,Macklemore & Ryan Lewis
244,Ryan Lewis
245,The Lumineers
246,Shilpa Rao
247,Nicki Nicole
248,Mora
249,Megan Thee Stallion
250,Elley DuhÃ©
251,The Killers
252,Kim Petras
253,Luis Fonsi
254,MÃ¥neskin
255,Vishal-Shekhar
256,Sachin-Jigar
257,Skrillex
258,Paramore
259,MEDUZA
260,Clean Bandit
261,Camilo
262,The Notorious B.I.G.
263,Brent Faiyaz
264,Felix Jaehn
265,Lizzo
266,Jonas Blue
267,John Legend
268,Lorde
269,Sech
270,Outkast
271,Zach Bryan
272,Summer Walker
273,JID
274,Wisin & Yandel
275,Foo Fighters
276,Phil Collins
277,Bastille
278,Zion & Lennox
279,Roddy Ricch
280,Tanishk Bagchi
281,Anitta
282,Eagles
283,Natanael Cano
284,TOTO
285,Offset
286,Plan B
287,NLE Choppa
288,U2
289,Oasis
290,Lauv
291,Jubin Nautiyal
292,KK
293,Anderson .Paak
294,Burna Boy
295,Tears For Fears
296,Udit Narayan
297,Marvin Gaye
298,Ruth B.
299,Daft Punk
300,Rels B
301,Tiago PZK
302,Chris Stapleton
303,Christian Nodal
304,Bryan Adams
305,5 Seconds of Summer
306,Reik
307,Darshan Raval
308,Timbaland
309,Bob Marley & The Wailers
310,Gabito Ballesteros
311,Alesso
312,Florence + The Machine
313,PNAU
314,A Boogie Wit da Hoodie
315,B.o.B
316,Grupo Firme
317,Stevie Wonder
318,TINI
319,Alka Yagnik
320,Jay Wheeler
321,Nelly
322,Kesha
323,Shankar Mahadevan
324,Big Sean
325,Becky Hill
326,Julia Michaels
327,Pink Floyd
328,Hotel Ugly
329,The Offspring
330,MC Kevin o Chris
331,Danny Ocean
332,Migos
333,Led Zeppelin
334,Avril Lavigne
335,Juanes
336,Journey
337,Vishal Mishra
338,French Montana
339,Train
340,Doechii
341,Piso 21
342,Jonita Gandhi
343,R.E.M.
344,Carly Rae Jepsen
345,Elvis Presley
346,Oliver Tree
347,blink-182
348,Cigarettes After Sex
349,Alec Benjamin
350,"Earth, Wind & Fire"
351,Kelly Clarkson
352,League of Legends
353,Joel Corry
354,Dire Straits
355,a-ha
356,Shaggy
357,Aventura
358,System Of A Down
359,ManÃ¡
360,Daryl Hall & John Oates
361,BeÃ©le
362,blackbear
363,Justin Quiles
364,Little Mix
365,Ãengo Flow
366,Luis Miguel
367,Dean Lewis
368,De La Ghetto
369,YoungBoy Never Broke Again
370,Baby Keem
371,Alessia Cara
372,PARTYNEXTDOOR
373,Vishal Dadlani
374,Niall Horan
375,Jason Mraz
376,G-Eazy
377,Backstreet Boys
378,Sonu Nigam
379,The Cranberries
380,The Cure
381,Chinmayi
382,Lil Tjay
383,Atif Aslam
384,Cris Mj
385,Steve Aoki
386,Mac DeMarco
387,David Bowie
388,Shania Twain
389,Emilia
390,George Michael
391,Imanbek
392,Dominic Fike
393,Libianca
394,The Script
395,Russ
396,George Ezra
397,Nile Rodgers
398,Jasleen Royal
399,FMK
400,Mohit Chauhan
401,Zedd
402,Gucci Mane
403,Bryson Tiller
404,Luis R Conriquez
405,Prince Royce
406,Mc Gw
407,Eden MuÃ±oz
408,Lynyrd Skynyrd
409,NF
410,LUDMILLA
411,Quavo
412,Bill Withers
413,Sachet Tandon
414,Bruce Springsteen
415,AP Dhillon
416,Ice Cube
417,Lil Tecca
418,LIT killah
419,Kungs
420,Jax Jones
421,Topic
422,Ella Henderson
423,Los Ãngeles Azules
424,Jessie J
425,Tove Lo
426,Bad Gyal
427,benny blanco
428,Rosa Linn
429,Lord Huron
430,Gesaffelstein
431,Tokischa
432,Banda MS de Sergio LizÃ¡rraga
433,Keane
434,The White Stripes
435,MC Ryan SP
436,Badshah
437,The Goo Goo Dolls
438,John Mayer
439,Shankar-Ehsaan-Loy
440,Nickelback
441,070 Shake
442,Ana Castela
443,My Chemical Romance
444,Sunidhi Chauhan
445,Cyndi Lauper
446,Bon Iver
447,Kings of Leon
448,Ricky Martin
449,beabadoobee
450,Brray
451,Noah Kahan
452,Gwen Stefani
453,TV Girl
454,Blessd
455,Santana
456,Julieta Venegas
457,Gabry Ponte
458,Ovy On The Drums
459,DENNIS
460,NATTI NATASHA
461,Amy Winehouse
462,Annie Lennox
463,6LACK
464,Black Sabbath
465,Carlos Vives
466,B Praak
467,Kylie Minogue
468,Alejandro FernÃ¡ndez
469,Lil Peep
470,Bomba EstÃ©reo
471,Armin van Buuren
472,Jain
